name,p_a,theoretical_entropy,measured_entropy,original_bytes,compressed_bytes,compression_ratio
bias_p000,0.000000000,0.000000000,0.000000000,1048576,1158,0.001104355
bias_p010,0.100000000,0.468995594,0.468996803,1048576,99789,0.095166206
bias_p020,0.200000000,0.721928095,0.721927713,1048576,140230,0.133733749
bias_p030,0.300000000,0.881290899,0.881291132,1048576,160186,0.152765274
bias_p040,0.400000000,0.970950594,0.970950371,1048576,167435,0.159678459
bias_p050,0.500000000,1.000000000,1.000000000,1048576,166891,0.159159660
bias_p060,0.600000000,0.970950594,0.970950371,1048576,167330,0.159578323
bias_p070,0.700000000,0.881290899,0.881291132,1048576,160206,0.152784348
bias_p080,0.800000000,0.721928095,0.721927713,1048576,140219,0.133723259
bias_p090,0.900000000,0.468995594,0.468996803,1048576,99869,0.095242500
bias_p100,1.000000000,0.000000000,0.000000000,1048576,1158,0.001104355
